scope_area,building,config,n_sale,median_sale_aed,p25_sale_aed,median_sqft,median_sale_psf,median_days_listed_sale,share_off_plan_pct,n_rent,median_rent_aed,p75_rent_aed,median_days_listed_rent,asking_gross_yield_pct,deal_yield_pct
Jumeirah Lake Towers,Uptown Tower,1BR,21,2700000.0,2500000.0,810.0,3406.1696658097685,26.0,0.0,15,160000.0,165000.0,15.0,5.9259259259259265,6.6000000000000005
Jumeirah Lake Towers,SO/ Uptown Dubai,1BR,7,2700000.0,2700000.0,804.0,3312.883435582822,19.0,0.0,14,159999.0,175000.0,26.0,5.925888888888889,6.481481481481481
Jumeirah Lake Towers,Indigo Tower,1BR,10,1690000.0,1599999.0,831.0,2033.6943441636583,38.5,0.0,27,100000.0,107000.0,25.0,5.9171597633136095,6.687504179690112
Dubai Marina,Continental Tower,1BR,9,1699900.0,1400000.0,788.0,2067.2182006204757,46.0,0.0,10,99999.5,100000.0,19.5,5.882669568798165,7.142857142857142
Dubai Marina,Blakely Tower,1BR,14,1890000.0,1860000.0,930.0,1982.5900501030915,17.0,0.0,9,110000.0,110000.0,19.0,5.82010582010582,5.913978494623656
Dubai Marina,Bonaire Tower,1BR,14,1935000.0,1850000.0,909.0,2128.712871287129,27.0,0.0,16,111999.5,125000.0,24.0,5.7880878552971575,6.756756756756757
Dubai Marina,Vida Residences Dubai Marina,1BR,6,2600000.0,2450000.0,747.5,3277.710761432949,4.0,0.0,25,150000.0,165000.0,20.0,5.769230769230769,6.73469387755102
Dubai Marina,Jumeirah Living Marina Gate,1BR,30,2875000.0,2525000.0,944.0,3192.1618204804045,16.5,0.0,28,164500.0,190000.0,15.5,5.721739130434782,7.524752475247524
Dubai Marina,Bay Central Tower West,1BR,22,1750000.0,1700000.0,651.0,2627.510819165379,10.5,0.0,19,100000.0,119000.0,11.0,5.714285714285714,7.000000000000001
Dubai Marina,Silverene Tower B,1BR,9,2100000.0,1550000.0,832.0,2591.9732441471574,28.0,0.0,15,120000.0,129000.0,11.0,5.714285714285714,8.32258064516129
Dubai Marina,Attessa Tower,1BR,7,2200000.0,2200000.0,955.0,2303.6649214659687,19.0,0.0,13,125000.0,135000.0,15.0,5.681818181818182,6.136363636363637
Dubai Marina,Cayan Tower,1BR,15,2300000.0,2298990.0,875.0,2742.8571428571427,30.0,0.0,28,129944.0,135000.0,22.5,5.649739130434782,5.872143854475226
Dubai Marina,Botanica Tower,1BR,27,1770000.0,1600000.0,813.0,2158.774373259053,24.0,0.0,33,100000.0,110000.0,23.0,5.649717514124294,6.875000000000001
Dubai Marina,Studio One,STUDIO,17,1250000.0,1150000.0,357.0,2941.176470588235,39.0,0.0,53,70000.0,79850.0,25.0,5.6000000000000005,6.943478260869565
Dubai Marina,Sparkle Tower 1,1BR,6,2150000.0,1999999.0,863.0,2491.5135572419867,44.5,0.0,19,120000.0,125000.0,24.0,5.5813953488372094,6.250003125001563
Dubai Marina,Damac Heights,1BR,14,2300000.0,2000000.0,914.0,2564.6798170383076,50.0,0.0,52,127499.5,140000.0,17.0,5.54345652173913,7.000000000000001
Dubai Marina,LIV Marina,1BR,13,3100000.0,2800000.0,825.0,3770.4918032786886,25.0,7.6923076923076925,12,169000.0,180000.0,37.0,5.451612903225807,6.428571428571428
Dubai Marina,Bay Central Tower Central,1BR,12,1850000.0,1799999.0,706.0,2793.421452724061,10.5,0.0,13,100000.0,119990.0,11.0,5.405405405405405,6.66611481450823
Dubai Marina,JW Marriott Hotel Marina,1BR,25,2575000.0,2500000.0,879.0,2948.1132075471696,40.0,0.0,24,139000.0,150000.0,21.0,5.398058252427185,6.0
Dubai Marina,Fairfield Tower,1BR,9,2150000.0,2100000.0,909.0,2390.8523908523907,60.0,0.0,12,115000.0,119999.0,19.0,5.348837209302325,5.714238095238096
Dubai Marina,Marina Star,STUDIO,13,1700000.0,1600000.0,504.0,3353.0571992110454,35.0,0.0,29,90000.0,105000.0,24.0,5.294117647058823,6.5625
Dubai Marina,Beauport Tower,1BR,10,2100000.0,1975000.0,957.0,2219.873150105708,22.0,0.0,14,110000.0,150000.0,15.5,5.238095238095238,7.59493670886076
Dubai Marina,Marina Gate 2,1BR,22,2890000.0,2349999.0,770.0,3486.1278648974667,25.5,0.0,25,134999.0,149999.0,15.0,4.671245674740485,6.382938886356973
Dubai Marina,Paloma Tower,1BR,5,2500000.0,2000000.0,1036.0,2413.127413127413,38.0,0.0,7,110000.0,119000.0,7.0,4.3999999999999995,5.949999999999999
Dubai Marina,Al Majara 1,1BR,5,2300000.0,2300000.0,929.0,2475.7804090419804,21.0,0.0,6,99999.5,100000.0,15.0,4.347804347826087,4.3478260869565215
Dubai Marina,Stella Maris,1BR,9,3100000.0,2900000.0,966.0,3190.4287138584245,38.0,0.0,6,130000.0,155000.0,6.5,4.193548387096775,5.344827586206897
Dubai Marina,Marina Gate 1,1BR,10,3049994.0,2600000.0,834.5,3566.8207431475585,29.0,0.0,14,125000.0,135000.0,16.5,4.098368718102396,5.1923076923076925
