area_key,building_key,config,dld_n_tx,dld_actual_aed,dld_actual_psf,dld_median_sqft,dld_project_en,dld_area_en,nearest_metro,pf_n_sale,pf_asking_aed,pf_p25_asking,pf_asking_psf,pf_building_name,pf_area_name,pf_n_rent,pf_rent_aed,pf_p75_rent,asking_premium_pct,dld_implied_yield_pct,pf_implied_yield_pct
jumeirah village circle,binghatti tulip,1BR,6,940000.0,1742.7494195028435,514.1376835,Binghatti Tulip,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,41,1075000.0,1000000.0,1797.3856209150326,Binghatti Tulip,Jumeirah Village Circle,10,72499.5,80000.0,14.361702127659576,7.712712765957447,6.744139534883721
jumeirah lake towers,laguna,STUDIO,5,393429.0,1082.0244374175063,363.604542,LAGUNA TOWER,JUMEIRAH LAKES TOWERS,Jumeirah Lakes Towers,3,450000.0,450000.0,1196.8085106382978,Laguna Tower,Jumeirah Lake Towers,7,75000.0,80000.0,14.378960371502863,19.063160061917145,16.666666666666664
jumeirah lake towers,lake shore,1BR,4,1015000.0,1049.490003951511,967.1364149999999,LAKE SHORE TOWER,JUMEIRAH LAKES TOWERS,Damac Properties,14,1274999.5,1160000.0,1344.3640124095139,Lake Shore Tower,Jumeirah Lake Towers,18,85000.0,90000.0,25.615714285714287,8.374384236453201,6.666669281046776
dubai land residence complex,desert sun,STUDIO,7,540000.0,796.9509280991799,680.0632019999999,DESERT SUN TOWER,DUBAI LAND RESIDENCE COMPLEX,"",10,450000.0,420000.0,970.9154985348855,Desert Sun,Dubai Land Residence Complex,,,,-16.666666666666664,,
meydan one,azizi riviera 61,STUDIO,7,786600.0,2310.0397179024344,340.354518,AZIZI RIVIERA 61,MEYDAN ONE,Buj Khalifa Dubai Mall Metro Station,8,862500.0,840000.0,2327.3480662983425,Azizi Riviera 61,Meydan One,13,54999.0,70000.0,9.649122807017543,6.991990846681922,6.376695652173912
jumeirah village circle,autograph,STUDIO,5,800000.0,1844.291885384725,407.62889299999995,The Autograph,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,11,890000.0,820000.0,1859.0998043052837,The Autograph,Jumeirah Village Circle,12,59000.0,63000.0,11.25,7.375,6.629213483146068
jumeirah village circle,westwood grande ii,STUDIO,5,790000.0,1779.2357000264915,438.09073,Westwood Grande II By Imtiaz,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,4,787500.0,775000.0,1683.6197427308298,Westwood Grande II,Jumeirah Village Circle,12,59995.0,64999.0,-0.31645569620253167,7.5943037974683545,7.618412698412698
dubai production city,oakwood residency,1BR,7,690000.0,816.1165443045245,881.56341,OAKWOOD RESIDENCY,DUBAI PRODUCTION CITY,Damac Properties,14,715000.0,660000.0,858.4830619502152,Oakwood Residency,Dubai Production City,16,63000.0,65000.0,3.6231884057971016,9.130434782608695,8.811188811188812
jumeirah village circle,o 2,1BR,8,927500.0,954.4301286484304,998.9437395,O 2,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,8,960000.0,850000.0,1117.370295784273,O2 Tower,Jumeirah Village Circle,5,75000.0,78999.0,3.5040431266846364,8.086253369272237,7.8125
dubai sports city,hamza,1BR,4,650000.0,729.2669728638199,863.5876969999999,HAMZA TOWER,DUBAI SPORTS CITY,Nakheel Metro Station,5,770000.0,740000.0,903.755868544601,Hamza Tower,Dubai Sports City,22,62000.0,65000.0,18.461538461538463,9.538461538461538,8.051948051948052
jumeirah village circle,ghalia,STUDIO,11,550000.0,1244.4403665013542,441.212261,GHALIA,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,41,600000.0,599000.0,1419.0687361419068,Ghalia Tower,Jumeirah Village Circle,19,50000.0,52000.0,9.090909090909092,9.090909090909092,8.333333333333332
jumeirah village circle,binghatti gardenia,1BR,6,955000.0,1604.0826750238584,645.1343465,Binghatti Gardenia,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,22,1090000.0,960000.0,1692.3076923076924,Binghatti Gardenia,Jumeirah Village Circle,14,69999.5,72999.0,14.136125654450263,7.32979057591623,6.421972477064221
majan,haven,STUDIO,6,731000.0,1518.7711682408972,481.3077885,THE HAVEN,MAJAN,"",3,750000.0,750000.0,1637.5545851528384,The Haven,Majan,8,60000.0,60000.0,2.5991792065663475,8.207934336525307,8.0
town square,una,1BR,12,744500.0,1552.8846069521146,479.53174499999994,UNA,TOWN SQUARE,"",18,750000.0,749000.0,1564.0140918580375,UNA Apartments,Town Square,24,60499.5,65000.0,0.7387508394895903,8.126192075218269,8.0666
business bay,elite business bay,STUDIO,5,800000.0,1615.4415633338804,492.12550799999997,ELITE BUSINESS BAY RESIDENCE,BUSINESS BAY,Business Bay Metro Station,10,874500.0,829900.0,1800.8830218782355,Elite Business Bay Residence,Business Bay,29,64999.0,67000.0,9.3125,8.124875,7.432704402515723
jumeirah village circle,binghatti emerald,1BR,5,980000.0,1496.7477026977049,658.8583189999999,Binghatti Emerald,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,32,1050000.0,960000.0,1732.2175275700947,Binghatti Emerald,Jumeirah Village Circle,6,72500.0,75000.0,7.142857142857142,7.3979591836734695,6.904761904761905
jumeirah village circle,binghatti azure,1BR,7,1075000.0,1475.3554058511443,701.80628,Binghatti Azure,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,27,1100000.0,1050000.0,1548.6725663716813,Binghatti Azure,Jumeirah Village Circle,11,77999.0,80000.0,2.3255813953488373,7.255720930232558,7.0908181818181815
jumeirah village circle,luma 21,STUDIO,6,747500.0,1636.6618035335814,447.45532299999996,Luma21,JUMEIRAH VILLAGE CIRCLE,Nakheel Metro Station,10,725000.0,710000.0,1618.3035714285713,Luma21,Jumeirah Village Circle,18,57250.0,60000.0,-3.0100334448160537,7.6588628762541795,7.896551724137931
dubai sports city,olympic park 3,1BR,4,760000.0,754.8781500648709,982.6364309999999,OLYMPIC PARK 3,DUBAI SPORTS CITY,Nakheel Metro Station,6,800000.0,800000.0,860.2150537634409,Olympic Park 3,Dubai Sports City,,,,5.263157894736842,,
jumeirah village circle,rise,1BR,8,850000.0,1260.2417467631371,682.754177,Rise Residences,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,39,999999.0,950000.0,1414.4271570014143,Rise Residences,Jumeirah Village Circle,42,71000.0,75000.0,17.646941176470587,8.352941176470589,7.100007100007099
jumeirah village circle,manhattan,1BR,4,769000.0,844.2706713422976,849.3793489999999,MANHATTAN,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,18,804999.5,795000.0,980.1509913423752,The Manhattan Tower,Jumeirah Village Circle,3,60000.0,70000.0,4.681339401820546,7.802340702210664,7.453420778522222
meydan one,azizi riviera 69,STUDIO,12,1019860.0,2293.226335819789,468.9831229999999,AZIZI RIVIERA 69,MEYDAN ONE,Buj Khalifa Dubai Mall Metro Station,9,1151000.0,899000.0,2513.742071881607,Azizi Riviera 69,Meydan One,8,67500.0,70000.0,12.858627654776145,6.618555488008158,5.864465682015639
jumeirah village circle,binghatti house,STUDIO,6,590000.0,1893.6535986224699,311.5610855,Binghatti House,JUMEIRAH VILLAGE CIRCLE,Dubai Internet City,12,650000.0,650000.0,2086.6827438370847,Binghatti House,Jumeirah Village Circle,6,55000.0,55000.0,10.16949152542373,9.322033898305085,8.461538461538462
business bay,mag 318,STUDIO,6,1050000.0,2406.373079930007,432.92405799999995,MAG 318,BUSINESS BAY,Buj Khalifa Dubai Mall Metro Station,17,1100000.0,1099990.0,2546.296296296296,MAG 318,Business Bay,51,72000.0,80000.0,4.761904761904762,6.857142857142858,6.545454545454546
arjan,skyz,STUDIO,15,590000.0,1661.9276639089344,351.54897399999993,SKYZ By Danube,ARJAN,Sharaf Dg Metro Station,43,630000.0,605000.0,1761.5176151761518,Skyz by Danube,Arjan,301,50000.0,55000.0,6.779661016949152,8.47457627118644,7.936507936507936
